Date,Open,High,Low,Close,Volume
2024-06-18,479.2146,480.094,477.6535,479.4122,24438600
2024-06-20,480.6079,481.0228,473.8891,475.717,33918700
2024-06-21,475.4403,476.7742,472.9504,474.4424,37456800
2024-06-24,473.2172,474.949,468.9025,469.041,37751000
2024-06-25,471.1291,474.7016,470.189,474.4048,29014700
2024-06-26,473.5833,475.9288,473.1677,475.3845,22737100
2024-06-27,475.1371,478.0862,474.3256,476.6116,26222100
2024-06-28,477.4033,482.1436,473.4943,474.1375,34881600
2024-07-01,475.058,477.4825,471.3172,476.9185,24898300
2024-07-02,475.4241,481.9852,475.2954,481.9259,26723600
2024-07-03,481.1738,486.0724,481.1738,485.9438,18064900
2024-07-05,486.785,491.4461,486.4881,491.0107,28495900
2024-07-08,491.3767,492.7325,490.3574,492.1783,22109400
2024-07-09,493.6925,494.8108,491.0898,492.6039,25614500
2024-07-10,494.5238,498.2942,493.2175,497.7401,28046900
2024-07-11,497.8489,498.0567,485.637,486.8245,49966600
2024-07-12,487.3985,494.4347,486.9334,489.6845,37109400
2024-07-15,491.4559,495.8102,488.9621,491.0007,31151400
2024-07-16,492.4554,493.2669,488.0318,491.1887,25950600
2024-07-17,483.2124,483.727,476.7007,476.7699,56268800
2024-07-18,480.4909,480.6691,471.327,474.5136,49347400
2024-07-19,474.1771,476.6908,469.0212,470.3077,42042900
2024-07-22,476.1663,478.3336,472.7521,477.3143,40300000
2024-07-23,476.4137,479.4023,475.1569,475.6319,23282500
2024-07-24,468.9025,469.2686,457.7099,458.5708,58818600
2024-07-25,458.9073,463.0835,450.9012,453.5138,59256800
2024-07-26,457.8484,461.0944,454.9983,458.1651,39992100
2024-07-29,460.8766,463.0538,456.8291,459.0854,28218500
2024-07-30,461.0152,461.7178,449.4366,452.7815,41317200
2024-07-31,463.0142,467.8832,461.5694,466.181,44552100
2024-08-01,466.8638,470.6145,451.2476,454.8894,56653900
2024-08-02,446.2105,448.8627,439.8571,444.0927,66323200
2024-08-05,420.3022,437.6997,419.0553,430.8515,87483500
2024-08-06,432.6922,442.4301,430.0499,434.9683,63164400
2024-08-07,441.8561,444.34,429.8619,430.2577,54929200
2024-08-08,436.4825,444.3302,432.6131,443.4197,47890100
2024-08-09,442.1035,447.3683,440.9853,445.7355,33574000
2024-08-12,446.7052,449.6543,443.8947,446.6953,27795000
2024-08-13,451.0893,458.0463,450.9507,457.7791,40084500
2024-08-14,458.6995,460.2829,453.6425,457.9276,34733700
2024-08-15,463.895,469.8921,463.5189,469.4962,38280600
2024-08-16,467.7149,471.4655,466.7549,470.0999,38383600
2024-08-19,470.2384,476.3147,468.4571,476.2751,23737700
2024-08-20,475.3647,477.9278,473.5833,475.2756,29209300
2024-08-21,476.0574,479.343,474.3454,477.4924,25658800
2024-08-22,479.8081,480.5009,468.8926,469.9218,37739600
2024-08-23,474.2662,477.7299,470.3473,475.0183,36061500
2024-08-26,474.474,475.3944,468.3285,470.4067,27452600
2024-08-27,468.7738,472.8808,466.8144,471.812,27510000
2024-08-28,471.3468,472.0692,463.034,466.4581,37372400
2024-08-29,468.368,472.9698,464.4986,465.7752,41081500
2024-08-30,470.1098,471.9505,465.6268,471.327,33466500
2024-09-03,468.2889,468.4175,454.642,457.0171,44985200
2024-09-04,453.9097,459.6297,452.9795,455.8296,32505100
2024-09-05,454.2066,460.5303,453.1873,456.2551,34452400
2024-09-06,455.5525,456.4333,443.5385,444.0333,50624400
2024-09-09,448.3579,450.733,445.1515,449.7433,32981200
2024-09-10,451.5049,454.4046,447.5366,453.8998,29680300
2024-09-11,455.1368,464.4986,446.5963,463.7564,57843000
2024-09-12,463.7862,469.1202,462.0049,468.3087,40067800
2024-09-13,467.5764,471.5843,467.3488,470.4067,29111800
2024-09-16,468.2791,468.9421,465.0133,468.3285,22585600
2024-09-17,471.3468,472.6432,466.082,468.5759,30084400
2024-09-18,469.7734,473.8605,465.9435,466.5472,39909200
2024-09-19,477.6012,481.1837,475.5032,478.3434,52782500
2024-09-20,477.4825,478.67,473.3359,477.433,34577700
2024-09-23,478.6093,479.7886,477.2715,478.6985,24843000
2024-09-24,480.1057,481.9589,475.8543,481.0076,25952600
2024-09-25,480.3832,483.4058,480.2048,481.4535,26549900
2024-09-26,488.9357,489.2627,481.4337,485.0707,32020200
2024-09-27,486.0915,486.2302,481.1959,482.3752,22851100
2024-09-30,481.4139,484.0202,478.5796,483.6833,30281100
2024-10-01,483.3166,483.6139,473.1092,476.9444,42735400
2024-10-02,476.0426,479.531,473.4264,477.6183,23744000
2024-10-03,475.4281,480.1949,474.6849,477.2615,25337200
2024-10-04,483.0689,483.495,478.0544,482.9401,30686600
2024-10-07,481.0274,482.1968,476.548,477.767,24975100
2024-10-08,480.3039,485.586,479.5012,484.9022,28272000
2024-10-09,484.6049,489.2924,483.5644,488.7176,24995000
2024-10-10,486.4383,490.0258,485.1302,488.1627,25750400
2024-10-11,486.3293,489.9465,485.7644,488.9257,20644500
2024-10-14,491.3141,494.3466,490.8087,493.0286,26060100
2024-10-15,493.3556,494.0196,484.2878,486.4384,34784500
2024-10-16,486.7654,487.2708,483.1878,486.4978,22996800
2024-10-17,491.9781,492.0276,486.7753,486.8347,27210700
2024-10-18,489.6195,491.1159,488.8663,490.0258,25335000
2024-10-21,488.8168,491.77,486.8942,490.9673,30336500
2024-10-22,488.3014,492.979,487.5482,491.5023,26685800
2024-10-23,489.1537,489.8077,480.6904,483.9707,39346600
2024-10-24,487.687,488.569,485.041,487.8951,22024900
2024-10-25,490.6897,495.7835,489.9861,490.8681,38762100
2024-10-28,493.9799,494.0394,490.6501,490.9474,20477800
2024-10-29,491.2646,496.844,489.4114,495.6647,28014100
2024-10-30,494.9016,495.853,491.4331,491.9186,29756000
2024-10-31,487.9546,488.0041,479.4021,479.5013,41245200
2024-11-01,481.1364,486.3392,480.8391,483.049,33655800
2024-11-04,482.4445,484.9815,479.8976,481.6418,23291600
2024-11-05,483.2274,488.4501,483.1383,487.7861,24353600
2024-11-06,496.0611,501.8585,495.1097,501.0359,43082200
2024-11-07,503.8305,509.7073,503.7711,508.9243,32853100
2024-11-08,508.4288,510.2919,507.8045,509.519,22924500
2024-11-11,510.7379,510.9461,506.3279,509.2217,24167500
2024-11-12,509.1524,510.0344,505.2478,508.3001,25835300
2024-11-13,507.7947,510.3514,505.3667,507.646,24567400
2024-11-14,507.3091,508.1811,503.2063,504.118,28679500
2024-11-15,498.4197,498.8062,490.0456,492.1069,51461100
2024-11-18,493.6529,497.6269,492.2655,495.5259,27080800
2024-11-19,492.9493,499.4206,492.6123,498.935,24523000
2024-11-20,498.6377,498.9548,492.097,498.6476,29565500
2024-11-21,501.69,502.4035,493.088,500.4413,34526700
